Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_062404_859,-10,37,37,7.3,19.57978287232649,-82.78627014160156,-82.78627014160156,0.0947582721710205,0.1017506122589111,37,37.0,YOLO,1,32,0,19.57978287232649,0.0
20250721_062407_556,-9,36,36,5.8,19.80848079335228,-82.60442352294922,-82.60442352294922,0.0894436836242675,0.1581025123596191,36,36.0,YOLO,1,32,0,19.80848079335228,0.0
20250721_062406_398,-9,37,37,7.3,18.12184832488674,-82.35873870849609,-82.35873870849609,0.0922608375549316,0.4195888042449951,37,36.0,NeighborSearch,2,32,0,20.03424542094736,-1.0
20250721_062406_201,-9,37,37,7.3,19.19751781682476,-83.2946548461914,-83.2946548461914,0.0941052436828613,0.1017932891845703,37,37.0,YOLO,1,32,0,19.19751781682476,0.0
20250721_062407_111,-9,36,36,5.8,19.877343458329378,-82.61324424743653,-82.61324424743653,0.0924723148345947,0.1580367088317871,36,36.0,YOLO,1,32,0,19.877343458329378,0.0
20250721_062410_034,-8,36,36,5.8,18.97160342051089,-83.37056121826171,-83.37056121826171,0.0961506366729736,0.1018714904785156,36,36.0,YOLO,1,32,0,18.97160342051089,0.0
20250721_062408_250,-8,36,36,5.8,19.82008120758572,-82.59839897155761,-82.59839897155761,0.0948338508605957,0.1017706394195556,36,36.0,YOLO,1,32,0,19.82008120758572,0.0
20250721_062409_143,-8,36,36,5.8,19.39880045643816,-82.92575263977051,-82.92575263977051,0.0912504196166992,0.1016881465911865,36,36.0,YOLO,1,32,0,19.39880045643816,0.0
20250721_062408_448,-8,36,36,5.8,18.899493080158663,-83.59083824157715,-83.59083824157715,0.0914571285247802,0.1581232547760009,36,36.0,YOLO,1,32,0,18.899493080158663,0.0
20250721_062410_233,-7,35,35,4.4,18.91841658254195,-83.46316528320312,-83.46316528320312,0.0869154930114746,0.1582162380218505,35,35.0,YOLO,1,32,0,18.91841658254195,0.0
