Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_075129_854,-11,38,38,8.7,20.78398045702696,0.0907132625579834,0.0042414665222167,38,38.0,YOLO,1,32,0,20.78398045702696,0.0
20250721_075129_952,-11,38,38,8.7,20.78398045702696,0.0956752300262451,0.0043337345123291,38,38.0,YOLO,1,32,0,20.78398045702696,0.0
20250721_075130_055,-11,38,38,8.7,20.78398045702696,0.0918090343475341,0.0042591094970703,38,38.0,YOLO,1,32,0,20.78398045702696,0.0
20250721_075129_754,-11,38,38,8.7,20.78398045702696,0.0933365821838378,0.0039343833923339,38,38.0,YOLO,1,32,0,20.78398045702696,0.0
20250721_075130_155,-10,38,38,8.7,19.54918985184892,0.1005899906158447,0.0039825439453125,38,38.0,YOLO,1,32,0,19.54918985184892,0.0
20250721_075130_568,-10,37,37,7.3,20.58575949811884,0.0941247940063476,0.0040626525878906,37,37.0,YOLO,1,32,0,20.58575949811884,0.0
20250721_075130_365,-10,37,37,7.3,20.58575949811884,0.0967905521392822,0.0042920112609863,37,37.0,YOLO,1,32,0,20.58575949811884,0.0
20250721_075130_262,-10,38,38,8.7,19.54918985184892,0.0957002639770507,0.0043463706970214,38,38.0,YOLO,1,32,0,19.54918985184892,0.0
20250721_075130_470,-10,37,37,7.3,20.58575949811884,0.0903136730194091,0.004481554031372,37,37.0,YOLO,1,32,0,20.58575949811884,0.0
20250721_075131_070,-9,36,36,5.8,20.602245915993024,0.0854301452636718,0.0039374828338623,36,36.0,YOLO,1,32,0,20.602245915993024,0.0
20250721_075130_874,-9,36,36,5.8,20.602245915993024,0.0917408466339111,0.0044550895690917,36,36.0,YOLO,1,32,0,20.602245915993024,0.0
20250721_075130_767,-9,37,37,7.3,20.508212429527475,0.0993378162384033,0.0043404102325439,37,37.0,YOLO,1,32,0,20.508212429527475,0.0
20250721_075130_669,-9,37,37,7.3,20.508212429527475,0.0904016494750976,0.0043654441833496,37,37.0,YOLO,1,32,0,20.508212429527475,0.0
20250721_075130_972,-9,36,36,5.8,20.602245915993024,0.0910389423370361,0.0042448043823242,36,36.0,YOLO,1,32,0,20.602245915993024,0.0
20250721_075131_357,-8,36,36,5.8,20.145034741588148,0.0957508087158203,0.0041956901550292,36,36.0,YOLO,1,32,0,20.145034741588148,0.0
20250721_075131_260,-8,36,36,5.8,20.145034741588148,0.0895025730133056,0.0043380260467529,36,36.0,YOLO,1,32,0,20.145034741588148,0.0
20250721_075131_162,-8,36,36,5.8,20.145034741588148,0.0908541679382324,0.0041954517364501,36,36.0,YOLO,1,32,0,20.145034741588148,0.0
20250721_075131_460,-8,36,36,5.8,20.145034741588148,0.0882472991943359,0.003941535949707,36,36.0,YOLO,1,32,0,20.145034741588148,0.0
20250721_075131_555,-8,35,35,4.4,20.134975071779124,0.089841604232788,0.0044004917144775,35,35.0,YOLO,1,32,0,20.134975071779124,0.0
20250721_075131_856,-7,35,35,4.4,19.879104743318493,0.0916883945465087,0.0040640830993652,35,35.0,YOLO,1,32,0,19.879104743318493,0.0
20250721_075131_653,-7,35,35,4.4,19.879104743318493,0.0904107093811035,0.0041356086730957,35,35.0,YOLO,1,32,0,19.879104743318493,0.0
20250721_075131_750,-7,35,35,4.4,19.879104743318493,0.0983304977416992,0.0042629241943359,35,35.0,YOLO,1,32,0,19.879104743318493,0.0
20250721_075131_955,-7,35,35,4.4,19.879104743318493,0.0909230709075927,0.0039985179901123,35,35.0,YOLO,1,32,0,19.879104743318493,0.0
20250721_075132_053,-7,35,35,4.4,19.879104743318493,0.0935316085815429,0.0043475627899169,35,35.0,YOLO,1,32,0,19.879104743318493,0.0
20250721_075132_248,-6,35,35,4.4,19.405543180804955,0.0886592864990234,0.0043342113494873,35,35.0,YOLO,1,32,0,19.405543180804955,0.0
20250721_075132_344,-6,34,34,2.9,20.431409177261287,0.0856215953826904,0.0039975643157958,34,34.0,YOLO,1,32,0,20.431409177261287,0.0
20250721_075132_154,-6,35,35,4.4,19.405543180804955,0.0878462791442871,0.0037817955017089,35,35.0,YOLO,1,32,0,19.405543180804955,0.0
20250721_075132_536,-6,34,34,2.9,20.431409177261287,0.0877385139465332,0.0040884017944335,34,34.0,YOLO,1,32,0,20.431409177261287,0.0
20250721_075132_437,-6,34,34,2.9,20.431409177261287,0.0914289951324462,0.0042986869812011,34,34.0,YOLO,1,32,0,20.431409177261287,0.0
20250721_075132_737,-5,34,34,2.9,19.97503476011257,0.0924365520477294,0.004119873046875,34,34.0,YOLO,1,32,0,19.97503476011257,0.0
20250721_075132_837,-5,33,33,1.5,20.3393480211354,0.0871908664703369,0.003493309020996,33,33.0,YOLO,1,32,0,20.3393480211354,0.0
20250721_075132_930,-5,33,33,1.5,20.3393480211354,0.0888304710388183,0.003890037536621,33,33.0,YOLO,1,32,0,20.3393480211354,0.0
20250721_075132_631,-5,34,34,2.9,19.97503476011257,0.0986537933349609,0.0040557384490966,34,34.0,YOLO,1,32,0,19.97503476011257,0.0
20250721_075133_124,-5,33,33,1.5,20.3393480211354,0.0855565071105957,0.0038866996765136,33,33.0,YOLO,1,32,0,20.3393480211354,0.0
20250721_075133_404,-4,33,33,1.5,20.58273326728235,0.0829825401306152,0.0042369365692138,33,33.0,YOLO,1,32,0,20.58273326728235,0.0
20250721_075133_310,-4,33,33,1.5,20.58273326728235,0.087029218673706,0.0039606094360351,33,33.0,YOLO,1,32,0,20.58273326728235,0.0
20250721_075133_590,-4,33,33,1.5,20.58273326728235,0.1010024547576904,0.0038697719573974,33,33.0,YOLO,1,32,0,20.58273326728235,0.0
20250721_075133_494,-4,33,33,1.5,20.58273326728235,0.0889883041381836,0.0039443969726562,33,33.0,YOLO,1,32,0,20.58273326728235,0.0
20250721_075133_217,-4,33,33,1.5,20.58273326728235,0.0860207080841064,0.0041966438293457,33,33.0,YOLO,1,32,0,20.58273326728235,0.0
20250721_075133_995,-3,32,32,0.0,20.680920869871755,0.0888841152191162,0.0042834281921386,32,32.0,YOLO,1,32,0,20.680920869871755,0.0
20250721_075133_799,-3,32,32,0.0,20.680920869871755,0.0900986194610595,0.004347801208496,32,32.0,YOLO,1,32,0,20.680920869871755,0.0
20250721_075133_698,-3,33,33,1.5,19.79819199246812,0.0942828655242919,0.00429368019104,33,33.0,YOLO,1,32,0,19.79819199246812,0.0
20250721_075134_092,-3,32,32,0.0,20.680920869871755,0.0985066890716552,0.004065990447998,32,32.0,YOLO,1,32,0,20.680920869871755,0.0
20250721_075133_897,-3,32,32,0.0,20.680920869871755,0.0914463996887207,0.0040035247802734,32,32.0,YOLO,1,32,0,20.680920869871755,0.0
20250721_075134_291,-2,32,32,0.0,20.88918522383746,0.0921521186828613,0.0038838386535644,32,32.0,YOLO,1,32,0,20.88918522383746,0.0
20250721_075134_491,-2,31,31,-1.5,21.32172847746935,0.0955181121826171,0.0038897991180419,31,31.0,YOLO,1,32,0,21.32172847746935,0.0
20250721_075134_198,-2,32,32,0.0,20.88918522383746,0.0856320858001709,0.0043032169342041,32,32.0,YOLO,1,32,0,20.88918522383746,0.0
20250721_075134_593,-2,31,31,-1.5,21.32172847746935,0.0821292400360107,0.0043058395385742,31,31.0,YOLO,1,32,0,21.32172847746935,0.0
20250721_075134_390,-2,31,31,-1.5,21.32172847746935,0.0943338871002197,0.0042009353637695,31,31.0,YOLO,1,32,0,21.32172847746935,0.0
20250721_075134_683,-1,31,31,-1.5,20.985161754898968,0.0928864479064941,0.0037879943847656,31,31.0,YOLO,1,32,0,20.985161754898968,0.0
20250721_075134_990,-1,31,31,-1.5,20.985161754898968,0.0984718799591064,0.0043005943298339,31,31.0,YOLO,1,32,0,20.985161754898968,0.0
20250721_075134_888,-1,31,31,-1.5,20.985161754898968,0.0947635173797607,0.003925085067749,31,31.0,YOLO,1,32,0,20.985161754898968,0.0
20250721_075134_783,-1,31,31,-1.5,20.985161754898968,0.0985176563262939,0.0042164325714111,31,31.0,YOLO,1,32,0,20.985161754898968,0.0
20250721_075135_096,-1,31,31,-1.5,20.985161754898968,0.0949459075927734,0.003913402557373,31,31.0,YOLO,1,32,0,20.985161754898968,0.0
20250721_075135_296,0,30,30,-2.9,20.97852816331165,0.0880420207977294,0.0046660900115966,30,30.0,YOLO,1,32,0,20.97852816331165,0.0
20250721_075135_605,0,30,30,-2.9,20.97852816331165,0.0893590450286865,0.0042300224304199,30,30.0,YOLO,1,32,0,20.97852816331165,0.0
20250721_075135_392,0,30,30,-2.9,20.97852816331165,0.1040427684783935,0.00417160987854,30,30.0,YOLO,1,32,0,20.97852816331165,0.0
20250721_075135_503,0,30,30,-2.9,20.97852816331165,0.0950453281402587,0.0041120052337646,30,30.0,YOLO,1,32,0,20.97852816331165,0.0
20250721_075135_198,0,31,31,-1.5,20.29527720658355,0.0913939476013183,0.0043380260467529,31,31.0,YOLO,1,32,0,20.29527720658355,0.0
20250721_075135_889,1,29,29,-4.4,21.112046555562685,0.0891427993774414,0.0040922164916992,29,29.0,YOLO,1,32,0,21.112046555562685,0.0
20250721_075136_090,1,29,29,-4.4,21.112046555562685,0.0904090404510498,0.0040371417999267,29,29.0,YOLO,1,32,0,21.112046555562685,0.0
20250721_075135_702,1,30,30,-2.9,20.71910171723502,0.0836198329925537,0.0043187141418457,30,30.0,YOLO,1,32,0,20.71910171723502,0.0
20250721_075135_793,1,30,30,-2.9,20.71910171723502,0.088757038116455,0.0042805671691894,30,30.0,YOLO,1,32,0,20.71910171723502,0.0
20250721_075135_986,1,29,29,-4.4,21.112046555562685,0.0972456932067871,0.0043261051177978,29,29.0,YOLO,1,32,0,21.112046555562685,0.0
20250721_075136_470,2,28,28,-5.8,20.434968710706485,0.0902464389801025,0.0048496723175048,28,28.0,YOLO,1,32,0,20.434968710706485,0.0
20250721_075136_188,2,29,29,-4.4,20.61133409978285,0.085418701171875,0.0039606094360351,29,29.0,YOLO,1,32,0,20.61133409978285,0.0
20250721_075136_280,2,29,29,-4.4,20.61133409978285,0.0894498825073242,0.0041325092315673,29,29.0,YOLO,1,32,0,20.61133409978285,0.0
20250721_075136_377,2,28,28,-5.8,20.434968710706485,0.0859787464141845,0.0042643547058105,28,28.0,YOLO,1,32,0,20.434968710706485,0.0
20250721_075136_568,2,28,28,-5.8,20.434968710706485,0.093116283416748,0.0044124126434326,28,28.0,YOLO,1,32,0,20.434968710706485,0.0
20250721_075136_776,3,28,28,-5.8,20.453825141565066,0.0979862213134765,0.0043320655822753,28,28.0,YOLO,1,32,0,20.453825141565066,0.0
20250721_075136_976,3,28,28,-5.8,20.453825141565066,0.0927414894104003,0.0043292045593261,28,28.0,YOLO,1,32,0,20.453825141565066,0.0
20250721_075137_076,3,28,28,-5.8,20.453825141565066,0.0914864540100097,0.0043308734893798,28,28.0,YOLO,1,32,0,20.453825141565066,0.0
20250721_075136_669,3,28,28,-5.8,20.453825141565066,0.0990927219390869,0.0043842792510986,28,28.0,YOLO,1,32,0,20.453825141565066,0.0
20250721_075136_882,3,28,28,-5.8,20.453825141565066,0.0864505767822265,0.0043952465057373,28,28.0,YOLO,1,32,0,20.453825141565066,0.0
20250721_075137_573,4,27,27,-7.3,20.56187537739349,0.0832719802856445,0.0042622089385986,27,27.0,YOLO,1,32,0,20.56187537739349,0.0
20250721_075137_275,4,28,28,-5.8,19.9725834748274,0.0895447731018066,0.0044097900390625,28,28.0,YOLO,1,32,0,19.9725834748274,0.0
20250721_075137_467,4,27,27,-7.3,20.56187537739349,0.0982553958892822,0.0043299198150634,27,27.0,YOLO,1,32,0,20.56187537739349,0.0
20250721_075137_175,4,28,28,-5.8,19.9725834748274,0.0924131870269775,0.0043175220489501,28,28.0,YOLO,1,32,0,19.9725834748274,0.0
20250721_075137_372,4,27,27,-7.3,20.56187537739349,0.0874965190887451,0.0042591094970703,27,27.0,YOLO,1,32,0,20.56187537739349,0.0
20250721_075137_758,5,27,27,-7.3,20.418760090819944,0.0929112434387207,0.0043809413909912,27,27.0,YOLO,1,32,0,20.418760090819944,0.0
20250721_075137_963,5,26,26,-8.7,20.74878966962234,0.0854420661926269,0.0042979717254638,26,26.0,YOLO,1,32,0,20.74878966962234,0.0
20250721_075138_056,5,26,26,-8.7,20.74878966962234,0.0930285453796386,0.0044679641723632,26,26.0,YOLO,1,32,0,20.74878966962234,0.0
20250721_075137_663,5,27,27,-7.3,20.418760090819944,0.0869975090026855,0.0041737556457519,27,27.0,YOLO,1,32,0,20.418760090819944,0.0
