Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History,Received Jetson inference Time,Set TX Beam Time (s),Set RX Beam Time (s),Stabilize Beam Time (s),Measure SNR Time (s)
20250724_014825_684,-19,50,50,26.1,11.099847011796996,-91.0214973449707,-91.0214973449707,0.0985481739044189,0.2702498435974121,50,50.0,OffsetFailed,2,47,21.8,10.791221454273412,-3.0,[],0.0981631278991699,0.0505154132843017,0.0507078170776367,0.0567822456359863,0.0008838176727294
20250724_014826_054,-18,49,49,24.7,11.42441544744328,-87.77121696472169,-87.77121696472169,0.1011123657226562,0.261136531829834,49,49.0,OffsetFailed,2,46,20.3,14.11621711932412,-3.0,[],0.1007850170135498,0.0504505634307861,0.050499677658081,0.0567567348480224,0.0006890296936035
20250724_014826_418,-18,49,49,24.7,9.685846420723353,-92.42454528808594,-92.42454528808594,0.1022179126739502,0.2608253955841064,49,49.0,OffsetFailed,2,46,20.3,9.668578376538449,-3.0,[],0.1018829345703125,0.0504579544067382,0.0504522323608398,0.0567350387573242,0.0006699562072753
20250724_014826_783,-17,49,49,24.7,8.174775005200672,-93.99395751953124,-93.99395751953124,0.1015996932983398,0.260861873626709,49,49.0,OffsetFailed,2,46,20.3,7.950658160279829,-3.0,[],0.1012940406799316,0.0504207611083984,0.0504872798919677,0.0567834377288818,0.0006611347198486
20250724_014827_147,-16,48,48,23.2,10.336516012777636,-90.98365020751952,-90.98365020751952,0.0962898731231689,0.2609083652496338,48,48.0,OffsetFailed,2,45,18.9,11.162096618106688,-3.0,[],0.0959529876708984,0.0504658222198486,0.0504622459411621,0.0567848682403564,0.0006756782531738
20250724_014827_506,-16,47,47,21.8,10.197238386954169,-90.61642456054688,-90.61642456054688,0.1041662693023681,0.2609410285949707,47,47.0,OffsetFailed,2,45,18.9,11.439472030851562,-2.0,[],0.1038441658020019,0.0504181385040283,0.0504822731018066,0.0567607879638671,0.0006437301635742
20250724_014827_873,-15,47,47,21.8,9.688933115553738,-89.36690368652344,-89.36690368652344,0.1013054847717285,0.2609598636627197,47,47.0,OffsetFailed,2,44,17.4,12.7710617150435,-3.0,[],0.1009790897369384,0.0504806041717529,0.0504596233367919,0.0567514896392822,0.0006625652313232
20250724_014828_237,-14,46,46,20.3,9.117359944016728,-89.76631164550781,-89.76631164550781,0.1000854969024658,0.2609522342681885,46,46.0,OffsetFailed,2,43,16.0,10.957110825563204,-3.0,[],0.0997419357299804,0.050408124923706,0.0504524707794189,0.0568132400512695,0.0006518363952636
20250724_014828_599,-13,46,46,20.3,9.087073593342964,-87.67086753845214,-87.67086753845214,0.1023242473602294,0.2611632347106933,46,46.0,OffsetFailed,2,43,16.0,14.420309503481192,-3.0,[],0.102020263671875,0.0504450798034668,0.0504834651947021,0.0567975044250488,0.0006923675537109
20250724_014828_964,-13,45,45,18.9,13.662484635891673,-88.44514465332031,-88.44514465332031,0.10288667678833,0.2609107494354248,45,45.0,OffsetFailed,2,43,16.0,13.674195462422404,-2.0,[],0.1025643348693847,0.0505492687225341,0.0504617691040039,0.0567424297332763,0.0006463527679443
