Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Tx Beam Index,Tx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250713_194038_344,-90,31,31,-1.5,33,-1.5,29.459809676838276,0.10226058959960938,0.1121511459350586
20250713_194038_560,-90,31,31,-1.5,33,-1.5,30.809927568722387,0.10337424278259277,0.20015525817871094
20250713_194038_864,-90,31,31,-1.5,33,-1.5,30.973319484166595,0.10181522369384766,0.12477231025695801
20250713_194039_092,-90,32,32,0,32,0,30.663105948153643,0.09966564178466797,0.16919994354248047
20250713_194039_362,-90,32,32,0,32,0,31.06003928998237,0.10024380683898926,0.1529066562652588
20250713_194039_616,-90,32,32,0,32,0,30.787521708635182,0.10006833076477051,0.16324996948242188
20250713_194039_880,-90,33,33,1.5,31,1.5,30.588326173817777,0.10173845291137695,0.10769224166870117
20250713_194040_091,-90,32,32,0,32,0,30.01477458772473,0.10153937339782715,0.16703438758850098
20250713_194040_360,-90,33,33,1.5,31,1.5,29.92292505170309,0.10148978233337402,0.2634282112121582
20250713_194040_726,-90,33,33,1.5,31,1.5,23.970530698817953,0.10293030738830566,0.22196221351623535
20250713_194041_052,-90,33,33,1.5,31,1.5,23.86462235904682,0.10082340240478516,0.1238551139831543
20250713_194041_278,-90,33,33,1.5,31,1.5,21.234119901952,0.10063838958740234,0.17688369750976562
20250713_194041_556,-90,33,33,1.5,31,1.5,20.912373443128487,0.1011509895324707,0.1092538833618164
20250713_194041_768,-90,34,34,2.9,30,2.9,18.030337113461712,0.09994220733642578,0.20579195022583008
20250713_194042_074,-90,34,34,2.9,30,2.9,17.76078745059357,0.10318541526794434,0.107391357421875
20250713_194042_286,-90,34,34,2.9,30,2.9,17.30882517953755,0.10224604606628418,0.16692304611206055
20250713_194042_556,-90,35,35,4.4,29,4.4,17.580329683263727,0.10433125495910645,0.11418795585632324
20250713_194042_776,-90,35,35,4.4,29,4.4,12.911938692119932,0.09930157661437988,0.22219133377075195
20250713_194043_098,-90,36,36,5.8,28,5.8,12.525917627216046,0.10028767585754395,0.10813450813293457
20250713_194043_308,-90,36,36,5.8,28,5.8,13.805704702456481,0.10084342956542969,0.2627573013305664
20250713_194043_672,-90,36,36,5.8,28,5.8,13.339218348880877,0.10397028923034668,0.15229320526123047
20250713_194043_930,-90,36,36,5.8,28,5.8,15.311079870779963,0.10102295875549316,0.1645810604095459
20250713_194044_196,-90,36,36,5.8,28,5.8,15.46944386531969,0.10000729560852051,0.16103482246398926
20250713_194044_458,-90,36,36,5.8,28,5.8,15.793816383228688,0.10362768173217773,0.1954784393310547
20250713_194044_759,-90,36,36,5.8,28,5.8,15.77923060042626,0.10456132888793945,0.12352585792541504
20250713_194044_988,-90,37,37,7.3,27,7.3,17.90257210621597,0.10071921348571777,0.16471433639526367
20250713_194045_254,-90,38,38,8.7,26,8.7,17.646862243103982,0.1004023551940918,0.11420559883117676
20250713_194045_470,-90,39,39,10.2,25,10.2,10.911778082853473,0.10149669647216797,0.23014044761657715
20250713_194045_803,-90,39,39,10.2,25,10.2,11.064209713801944,0.10133576393127441,0.11543679237365723
20250713_194046_020,-90,40,40,11.6,24,11.6,18.52632261461187,0.10195159912109375,0.16486668586730957
20250713_194046_288,-90,40,40,11.6,24,11.6,18.24582539400457,0.10132694244384766,0.14764690399169922
20250713_194046_538,-90,40,40,11.6,24,11.6,17.75377139306434,0.09985208511352539,0.1671581268310547
20250713_194046_806,-90,41,41,13.1,23,13.1,17.756696217950747,0.1011955738067627,0.11006641387939453
20250713_194047_019,-90,41,41,13.1,23,13.1,12.49784991601544,0.10116410255432129,0.1672983169555664
20250713_194047_288,-90,41,41,13.1,23,13.1,12.930366833540376,0.127272367477417,0.15966200828552246
20250713_194047_576,-90,42,42,14.5,22,14.5,17.64620507890919,0.10035514831542969,0.17451143264770508
20250713_194047_852,-90,42,42,14.5,22,14.5,17.774169710800734,0.10072803497314453,0.11850786209106445
20250713_194048_072,-90,43,43,16.0,21,16.0,10.487691853317969,0.102447509765625,0.16472911834716797
20250713_194048_340,-90,44,44,17.4,20,17.4,10.490895954952876,0.10181045532226562,0.10873150825500488
20250713_194048_552,-90,44,44,17.4,20,17.4,12.888677001797475,0.10293102264404297,0.1624765396118164
20250713_194048_818,-90,45,45,18.9,19,18.9,13.05707982888984,0.1037607192993164,0.10885453224182129
20250713_194049_032,-90,45,45,18.9,19,18.9,13.860750951296822,0.1018376350402832,0.17764925956726074
