Boresight Angle,snr_thresh_db,Rx Beam Index (YOLO Predicted),Initial SNR (dB),Offset Error
4,27.58970004336019,27,28.995190320376352,0.0
4,27.58970004336019,27,28.846096077965285,0.0
5,27.58970004336019,27,27.26179385803622,-1.0
5,27.58970004336019,26,29.14543092064155,0.0
6,27.58970004336019,26,29.675198841321677,0.0
6,27.58970004336019,25,29.4755268926435,0.0
6,27.58970004336019,25,29.314022728026917,0.0
7,27.58970004336019,25,28.78386551608431,0.0
7,27.58970004336019,25,28.64325592309183,0.0
7,27.58970004336019,24,29.928702562449597,0.0
7,27.58970004336019,24,29.879912773577665,0.0
8,27.58970004336019,25,26.874341060869284,-1.0
8,27.58970004336019,24,28.89423282151097,0.0
9,27.58970004336019,24,29.068890898089407,0.0
9,27.58970004336019,23,29.87216129664722,0.0
9,27.58970004336019,23,29.241647671950687,0.0
10,27.58970004336019,23,29.046358610256583,0.0
10,27.58970004336019,23,27.917624804279438,0.0
10,27.58970004336019,22,29.29446619219509,0.0
10,27.58970004336019,22,29.33830661682157,0.0
11,27.58970004336019,22,28.372358942648937,0.0
11,27.58970004336019,22,28.361478992988303,0.0
11,27.58970004336019,22,28.105881306769867,0.0
12,27.58970004336019,22,28.247516331465626,0.0
12,27.58970004336019,22,26.931838381306825,-1.0
13,27.58970004336019,21,29.429905232664154,0.0
13,27.58970004336019,21,28.637903728257207,0.0
13,27.58970004336019,20,29.357345803255733,0.0
13,27.58970004336019,20,29.50014623589818,0.0
14,27.58970004336019,20,27.56745068837844,0.0
14,27.58970004336019,19,30.0671652637213,0.0
14,27.58970004336019,20,30.226629419662068,0.0
15,27.58970004336019,20,26.301753228851723,-1.0
15,27.58970004336019,19,28.85091587852392,0.0
16,27.58970004336019,19,29.359270532966136,0.0
16,27.58970004336019,18,29.17221594400965,0.0
16,27.58970004336019,18,29.328458535171308,0.0
16,27.58970004336019,18,29.268095984378533,0.0
17,27.58970004336019,18,29.268000929141493,0.0
