Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_075306_788,19,17,17,-21.8,19.67530830885589,0.090700626373291,0.0044391155242919,17,17.0,YOLO,1,32,0,19.67530830885589,0.0
20250721_075306_886,19,17,17,-21.8,19.67530830885589,0.0939159393310546,0.0036699771881103,17,17.0,YOLO,1,32,0,19.67530830885589,0.0
20250721_075306_986,20,17,17,-21.8,17.862160541463012,0.0902707576751709,0.011486530303955,17,16.0,NeighborSearch,2,32,0,20.088047298886963,-1.0
20250721_075307_091,20,17,17,-21.8,17.862160541463012,0.0875229835510253,0.0111372470855712,17,16.0,NeighborSearch,2,32,0,20.088047298886963,-1.0
20250721_075307_192,20,16,16,-23.2,20.088047298886963,0.0879123210906982,0.0042886734008789,16,16.0,YOLO,1,32,0,20.088047298886963,0.0
20250721_075307_288,21,16,16,-23.2,19.851631620286483,0.0951454639434814,0.0043742656707763,16,16.0,YOLO,1,32,0,19.851631620286483,0.0
20250721_075307_390,21,16,16,-23.2,19.851631620286483,0.0984382629394531,0.0044066905975341,16,16.0,YOLO,1,32,0,19.851631620286483,0.0
20250721_075307_497,22,15,15,-24.7,20.29141674566685,0.0912036895751953,0.0041525363922119,15,15.0,YOLO,1,32,0,20.29141674566685,0.0
20250721_075307_595,22,15,15,-24.7,20.29141674566685,0.0925195217132568,0.0042729377746582,15,15.0,YOLO,1,32,0,20.29141674566685,0.0
20250721_075307_695,22,14,14,-26.1,20.07114294452927,0.0932109355926513,0.0043370723724365,14,14.0,YOLO,1,32,0,20.07114294452927,0.0
