Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_050217_664,-27,50,50,26.1,19.132554082362887,-83.60728607177734,-83.60728607177734,0.09746766090393066,0.10169291496276855,50,50,YOLO,1,32,0,19.132554082362887,0
20250721_050217_864,-27,50,50,26.1,18.538932453607487,-84.29801177978516,-84.29801177978516,0.09563589096069336,0.15818190574645996,50,50,YOLO,1,32,0,18.538932453607487,0
20250721_050218_120,-27,49,49,24.7,18.24884752528679,-84.46574401855469,-84.46574401855469,0.08443808555603027,0.1018517017364502,49,49,YOLO,1,32,0,18.24884752528679,0
20250721_050218_307,-26,49,49,24.7,18.4511629537339,-84.2571044921875,-84.2571044921875,0.09096813201904297,0.15812087059020996,49,49,YOLO,1,32,0,18.4511629537339,0
20250721_050218_558,-26,48,48,23.2,18.253253774365376,-84.47386169433594,-84.47386169433594,0.09038758277893066,0.10180068016052246,48,48,YOLO,1,32,0,18.253253774365376,0
20250721_050218_752,-25,48,48,23.2,18.583119506987344,-84.21375160217285,-84.21375160217285,0.10131144523620605,0.1581118106842041,48,48,YOLO,1,32,0,18.583119506987344,0
20250721_050219_012,-25,48,48,23.2,18.690535687566722,-84.03488998413086,-84.03488998413086,0.08989858627319336,0.10177135467529297,48,48,YOLO,1,32,0,18.690535687566722,0
20250721_050219_205,-24,47,47,21.8,18.89685603560403,-83.72128982543946,-83.72128982543946,0.08605289459228516,0.1581711769104004,47,47,YOLO,1,32,0,18.89685603560403,0
20250721_050219_451,-24,47,47,21.8,18.611226254589866,-84.1018081665039,-84.1018081665039,0.08991479873657227,0.10184407234191895,47,47,YOLO,1,32,0,18.611226254589866,0
20250721_050219_644,-23,47,47,21.8,18.019540763962524,-84.55567512512208,-84.55567512512208,0.09366393089294434,0.1580350399017334,47,47,YOLO,1,32,0,18.019540763962524,0
