Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History,Received Jetson inference Time,Set TX Beam Time (s),Set RX Beam Time (s),Stabilize Beam Time (s),Measure SNR Time (s)
20250724_024626_195,-13,42,42,14.5,15.021256696348589,-79.16694259643555,-79.16694259643555,0.1058320999145507,0.261033296585083,42,42.0,OffsetFailed,2,40,11.6,23.4123355385748,-2.0,[],0.105522871017456,0.0504834651947021,0.0504803657531738,0.0567374229431152,0.0006754398345947
20250724_024626_563,-13,42,42,14.5,14.833687285157282,-79.72085189819336,-79.72085189819336,0.1036856174468994,0.2610383033752441,42,42.0,OffsetFailed,2,40,11.6,22.71410991463867,-2.0,[],0.1033868789672851,0.0504601001739501,0.0504500865936279,0.0568418502807617,0.0006663799285888
20250724_024627_296,-12,42,42,14.5,11.215231719869491,-81.18983917236328,-81.18983917236328,0.1019484996795654,0.2609882354736328,42,42.0,OffsetFailed,2,40,11.6,21.30435182666177,-2.0,[],0.1014521121978759,0.0504751205444335,0.0505001544952392,0.0567705631256103,0.0007581710815429
20250724_024626_930,-12,42,42,14.5,11.359603183916974,-81.17960357666016,-81.17960357666016,0.1041417121887207,0.2609913349151611,42,42.0,OffsetFailed,2,40,11.6,21.37039738426398,-2.0,[],0.1038179397583007,0.0504610538482666,0.050485610961914,0.0567517280578613,0.0006642341613769
20250724_024628_025,-11,41,41,13.1,12.375064208982865,-80.55308532714844,-80.55308532714844,0.1018242835998535,0.2610199451446533,41,41.0,OffsetFailed,2,39,10.2,22.00327385057041,-2.0,[],0.1014556884765625,0.0504138469696044,0.0504758358001709,0.0567512512207031,0.0007166862487792
20250724_024627_661,-11,41,41,13.1,15.58006721865091,-78.76100120544433,-78.76100120544433,0.1008937358856201,0.2612032890319824,41,39.0,OffsetCorrected,2,39,10.2,23.899396507908776,-2.0,[],0.1005878448486328,0.0505905151367187,0.0505311489105224,0.0567808151245117,0.0006871223449707
20250724_024629_115,-10,40,40,11.6,14.852757495462924,-79.80894165039062,-79.80894165039062,0.1033492088317871,0.2615916728973388,40,40.0,OffsetFailed,2,38,8.7,22.78625838769693,-2.0,[],0.1030068397521972,0.0505449771881103,0.0504500865936279,0.0567996501922607,0.0007317066192626
20250724_024629_482,-10,40,40,11.6,15.678235567124716,-79.36380767822266,-79.36380767822266,0.1033120155334472,0.2608816623687744,40,40.0,OffsetFailed,2,38,8.7,23.133177795270058,-2.0,[],0.1024816036224365,0.0504519939422607,0.0504496097564697,0.0567450523376464,0.000676155090332
20250724_024629_848,-9,NO_RADIO,40,11.6,12.660948392257978,-89.77549476623535,-89.77549476623535,0.1005103588104248,0.1583924293518066,40,,CenterFallback,1,32,0.0,,,[],0.1001858711242675,0.050462007522583,0.0504815578460693,0.0567364692687988,0.0006611347198486
20250724_024630_108,-9,40,40,11.6,12.295171703413928,-82.31105003356933,-82.31105003356933,0.089595079421997,0.2686789035797119,40,40.0,OffsetFailed,2,38,8.7,20.1788115997264,-2.0,[],0.0892364978790283,0.050492525100708,0.0504426956176757,0.0004041194915771,0.0006203651428222
20250724_024631_582,-8,38,38,8.7,14.70748519639281,-77.8973217010498,-77.8973217010498,0.0992865562438964,0.2690517902374267,38,36.0,OffsetCorrected,2,36,5.8,24.74459661100805,-2.0,[],0.0989167690277099,0.0504512786865234,0.0504748821258544,0.0003983974456787,0.0006847381591796
20250724_024631_212,-8,39,39,10.2,21.498011770667617,-86.73675537109375,-86.73675537109375,0.10060715675354,0.2675955295562744,39,39.0,OffsetFailed,2,39,10.2,15.679242768353577,0.0,[],0.1003060340881347,0.0505008697509765,0.0504841804504394,0.0004024505615234,0.0006546974182128
20250724_024631_952,-7,38,38,8.7,24.736584859181136,-77.80974922180175,-77.80974922180175,0.1017770767211914,0.1021022796630859,38,38.0,YOLO,1,36,5.8,24.736584859181136,0.0,[],0.1014680862426757,0.0505354404449462,0.0505001544952392,0.0004026889801025,0.0006589889526367
20250724_024632_520,-7,37,37,7.3,18.908878985819456,-83.59397888183594,-83.59397888183594,0.1014356613159179,0.2609255313873291,37,37.0,OffsetFailed,2,37,7.3,18.87673071067332,0.0,[],0.1010990142822265,0.0504624843597412,0.050445556640625,0.0567831993103027,0.0006687641143798
20250724_024633_610,-6,37,37,7.3,15.384385554159891,-81.68045043945312,-81.68045043945312,0.096900463104248,0.2613835334777832,37,37.0,OffsetFailed,2,35,4.4,19.56003209206274,-2.0,[],0.0965869426727294,0.0504693984985351,0.0504300594329834,0.0567717552185058,0.0009593963623046
20250724_024632_884,-6,37,37,7.3,15.421652313238964,-80.70535278320312,-80.70535278320312,0.1014003753662109,0.2609167098999023,37,37.0,OffsetFailed,2,35,4.4,21.81209346035658,-2.0,[],0.1011006832122802,0.050452709197998,0.0504734516143798,0.056781530380249,0.0006549358367919
